Ngày đăng,Loại hình,Giá (VND),Giá gốc (VND),Diện tích,Diện tích gốc (m2),Giấy tờ pháp lý,Phòng ngủ,Phòng tắm,Tình trạng nội thất
28/10/2025,alley_house,0.07052809299425257,12000000000.0,0.2258906920350681,125.9,certificate,4.0,3.0,unfurnished
28/10/2025,alley_house,0.04287924512762591,7300000000.0,0.13467636634956165,77.0,certificate,5.0,5.0,unfurnished
28/10/2025,alley_house,0.02199554088793981,3750000000.0,0.017534042156314118,14.2,certificate,2.0,2.0,furnished
28/10/2025,alley_house,0.051703345510591865,8800000000.0,0.10874836784182056,63.1,certificate,4.0,6.0,unfurnished
27/10/2025,alley_house,0.03287859802693116,5600000000.0,0.055400111919418016,34.5,certificate,2.0,2.0,unfurnished
27/10/2025,alley_house,0.03876133161557513,6600000000.0,0.05241559410557731,32.9,certificate,4.0,2.0,unfurnished
27/10/2025,alley_house,0.04687950396790381,7980000000.0,0.09569110240626749,56.1,certificate,4.0,5.0,unfurnished
27/10/2025,alley_house,0.07846978333892193,13350000000.0,0.06771124790151091,41.1,certificate,3.0,4.0,unfurnished
27/10/2025,alley_house,0.06170399261128662,10500000000.0,0.12908039544861033,74.0,certificate,5.0,6.0,unfurnished
27/10/2025,alley_house,0.016759907994046672,2860000000.0,0.02611453087110614,18.8,certificate,2.0,1.0,unfurnished
27/10/2025,alley_house,0.05287989222832066,9000000000.0,0.1417645961574333,80.8,certificate,1.0,1.0,unfurnished
27/10/2025,alley_house,0.03458459076763791,5890000000.0,0.06565939190449543,40.0,certificate,3.0,3.0,furnished
27/10/2025,alley_house,0.04905611539570208,8350000000.0,0.1089349002051856,63.2,certificate,6.0,5.0,furnished
27/10/2025,alley_house,0.01728935401702463,2950000000.0,0.01995896288005969,15.5,certificate,2.0,3.0,unfurnished
27/10/2025,alley_house,0.05582125902264265,9500000000.0,0.10110054094385376,59.0,certificate,3.0,3.0,furnished
27/10/2025,alley_house,0.0646453594056086,11000000000.0,0.16023130013057266,90.7,certificate,5.0,6.0,unfurnished
27/10/2025,alley_house,0.03493755478295655,5950000000.0,0.05017720574519678,31.7,certificate,3.0,3.0,furnished
27/10/2025,alley_house,0.033349216714022675,5680000000.0,0.0710688304420817,42.9,certificate,3.0,3.0,unfurnished
27/10/2025,alley_house,0.02199554088793981,3750000000.0,0.03450848722253311,23.3,certificate,2.0,2.0,unfurnished
27/10/2025,alley_house,0.03423162675231927,5830000000.0,0.08244730460734938,49.0,certificate,3.0,3.0,furnished
27/10/2025,alley_house,0.0191718287653907,3270000000.0,0.056332773736243236,35.0,certificate,3.0,2.0,unfurnished
27/10/2025,alley_house,0.06758672619993059,11500000000.0,0.08151464279052416,48.5,certificate,4.0,4.0,unfurnished
27/10/2025,alley_house,0.024936907682261793,4250000000.0,0.04514083193434061,29.0,certificate,2.0,2.0,furnished
27/10/2025,alley_house,0.02623110907176347,4470000000.0,0.05334825592240253,33.4,certificate,3.0,3.0,unfurnished
27/10/2025,alley_house,0.03870250427968869,6590000000.0,0.07013616862525648,42.4,certificate,4.0,3.0,unfurnished
27/10/2025,alley_house,0.027172346445946502,4630000000.0,0.06733818317478082,40.9,certificate,2.0,2.0,unfurnished
27/10/2025,alley_house,0.02734294572001718,4659000000.0,0.059690356276814016,36.8,certificate,3.0,3.0,unfurnished
27/10/2025,alley_house,0.03699651153898194,6300000000.0,0.060436485730274214,37.2,certificate,1.0,2.0,unfurnished
27/10/2025,alley_house,0.014171505215043326,2420000000.0,0.024622271964185784,18.0,certificate,2.0,3.0,partially_furnished
27/10/2025,alley_house,0.05758607909923584,9800000000.0,0.0932661816825219,54.8,certificate,4.0,4.0,unfurnished
27/10/2025,alley_house,0.07346945978857455,12500000000.0,0.11042715911210595,64.0,other,3.0,3.0,unfurnished
27/10/2025,alley_house,0.02552518104112619,4350000000.0,0.19977616116396194,111.9,certificate,2.0,1.0,unfurnished
27/10/2025,alley_house,0.02328974227744148,3970000000.0,0.04756575265808617,30.3,certificate,2.0,2.0,unfurnished
26/10/2025,alley_house,0.03434928142409215,5850000000.0,0.07032270098862152,42.5,certificate,4.0,3.0,unfurnished
26/10/2025,alley_house,0.026878209766514304,4580000000.0,0.049990673381831746,31.6,certificate,2.0,2.0,furnished
26/10/2025,alley_house,0.05523298566377825,9400000000.0,0.06883044208170118,41.7,certificate,4.0,5.0,unfurnished
25/10/2025,alley_house,0.037584784897846335,6400000000.0,0.093639246409252,55.0,certificate,3.0,4.0,unfurnished
25/10/2025,alley_house,0.032290324668066764,5500000000.0,0.029099048684946834,20.4,certificate,3.0,3.0,unfurnished
25/10/2025,alley_house,0.07405773314743895,12600000000.0,0.11788845364670769,68.0,certificate,4.0,3.0,unfurnished
25/10/2025,alley_house,0.031113777950337963,5300000000.0,0.03656034321954858,24.4,certificate,2.0,3.0,unfurnished
25/10/2025,alley_house,0.05052679879286307,8600000000.0,0.11956724491699311,68.9,certificate,6.0,6.0,unfurnished
25/10/2025,alley_house,0.039349604974439525,6700000000.0,0.08449916060436485,50.1,certificate,7.0,7.0,unfurnished
25/10/2025,alley_house,0.033761008065227756,5750000000.0,0.04849841447491139,30.8,certificate,3.0,3.0,unfurnished
24/10/2025,alley_house,0.02158374953673473,3680000000.0,0.050736802835291916,32.0,certificate,2.0,2.0,unfurnished
24/10/2025,alley_house,0.03805540358493786,6480000000.0,0.0932661816825219,54.8,certificate,4.0,3.0,unfurnished
24/10/2025,alley_house,0.028760684514880376,4900000000.0,0.0697631038985264,42.2,certificate,2.0,2.0,unfurnished
24/10/2025,alley_house,0.016406943978728036,2800000000.0,0.04476776720761051,28.8,certificate,2.0,1.0,unfurnished
24/10/2025,alley_house,0.041114425051032716,7000000000.0,0.09196045513896661,54.1,certificate,3.0,3.0,unfurnished
24/10/2025,alley_house,0.012877303825541652,2200000000.0,0.009326618168252192,9.8,certificate,1.0,1.0,unfurnished
24/10/2025,alley_house,0.044644065204219104,7600000000.0,0.09550457004290244,56.0,certificate,3.0,1.0,unfurnished
24/10/2025,alley_house,0.06288053932901541,10700000000.0,0.0634210035441149,38.8,certificate,4.0,4.0,furnished
24/10/2025,alley_house,0.04405579184535471,7500000000.0,0.1566871852266368,88.8,certificate,4.0,5.0,partially_furnished
24/10/2025,alley_house,0.024995735018148234,4260000000.0,0.046446558477895916,29.7,certificate,2.0,2.0,unfurnished
24/10/2025,alley_house,0.020230720811346616,3450000000.0,0.093639246409252,55.0,certificate,3.0,2.0,partially_furnished
24/10/2025,alley_house,0.021407267529075413,3650000000.0,0.06603245663122552,40.2,certificate,2.0,2.0,unfurnished
24/10/2025,alley_house,0.07935219337721852,13500000000.0,0.21003544114903935,117.4,certificate,9.0,8.0,partially_furnished
24/10/2025,alley_house,0.041114425051032716,7000000000.0,0.027979854504756572,19.8,certificate,7.0,5.0,unfurnished
24/10/2025,alley_house,0.058468489137532435,9950000000.0,0.050923335198656966,32.1,certificate,3.0,4.0,unfurnished
24/10/2025,alley_house,0.028466547835448178,4850000000.0,0.04308897593732512,27.9,certificate,3.0,3.0,unfurnished
24/10/2025,alley_house,0.06817499955879498,11600000000.0,0.1324379779891811,75.8,certificate,1.0,1.0,unfurnished
24/10/2025,alley_house,0.028701857178993935,4890000000.0,0.028352919231486664,20.0,certificate,3.0,3.0,furnished
24/10/2025,alley_house,0.03523169146238875,6000000000.0,0.10688304420817012,62.1,certificate,4.0,3.0,unfurnished
24/10/2025,alley_house,0.03287859802693116,5600000000.0,0.09270658459242678,54.5,certificate,2.0,2.0,partially_furnished
24/10/2025,alley_house,0.04876197871626989,8300000000.000001,0.04514083193434061,29.0,certificate,3.0,5.0,unfurnished
24/10/2025,alley_house,0.032290324668066764,5500000000.0,0.12516321581794443,71.9,certificate,4.0,4.0,unfurnished
24/10/2025,alley_house,0.046408885280812294,7900000000.0,0.13467636634956165,77.0,certificate,5.0,3.0,partially_furnished
24/10/2025,alley_house,0.024642771002829595,4200000000.0,0.0697631038985264,42.2,certificate,2.0,1.0,unfurnished
24/10/2025,alley_house,0.018465900734753425,3150000000.0,0.010259279985077412,10.3,certificate,2.0,3.0,furnished
24/10/2025,alley_house,0.05582125902264265,9500000000.0,0.13523596343965677,77.3,certificate,3.0,3.0,unfurnished
24/10/2025,alley_house,0.03993787833330392,6800000000.0,0.10147360567058385,59.2,certificate,4.0,3.0,unfurnished
24/10/2025,alley_house,0.039349604974439525,6700000000.0,0.047192687931356087,30.1,certificate,2.0,2.0,unfurnished
24/10/2025,alley_house,0.07558724388048639,12860000000.0,0.09960828203693341,58.2,certificate,5.0,4.0,unfurnished
24/10/2025,alley_house,0.04082028837160052,6950000000.0,0.06864390971833613,41.6,certificate,5.0,5.0,unfurnished
24/10/2025,alley_house,0.01964244745248222,3350000000.0,0.050736802835291916,32.0,certificate,2.0,2.0,unfurnished
24/10/2025,alley_house,0.1046479478083876,17800000000.0,0.13523596343965677,77.3,certificate,15.0,15.0,furnished
24/10/2025,alley_house,0.03876133161557513,6600000000.0,0.04308897593732512,27.9,certificate,4.0,3.0,furnished
24/10/2025,alley_house,0.028466547835448178,4850000000.0,0.07256108934900206,43.7,certificate,2.0,2.0,unfurnished
23/10/2025,alley_house,0.022760296254463526,3880000000.0,0.03208356649878753,22.0,certificate,2.0,3.0,unfurnished
23/10/2025,alley_house,0.041114425051032716,7000000000.0,0.04588696138780078,29.4,certificate,3.0,3.0,unfurnished
23/10/2025,alley_house,0.031113777950337963,5300000000.0,0.03208356649878753,22.0,certificate,2.0,3.0,unfurnished
23/10/2025,alley_house,0.06817499955879498,11600000000.0,0.21488528259653047,120.0,certificate,10.0,10.0,unfurnished
23/10/2025,alley_house,0.04170269840989711,7100000000.0,0.13094571908226077,75.0,certificate,5.0,5.0,unfurnished
23/10/2025,alley_house,0.03346687138579556,5700000000.0,0.06416713299757508,39.2,certificate,2.0,3.0,partially_furnished
23/10/2025,alley_house,0.024348634323397404,4150000000.000001,0.04514083193434061,29.0,certificate,2.0,2.0,unfurnished
23/10/2025,alley_house,0.02993723123260917,5100000000.0,0.1059503823913449,61.6,other,2.0,2.0,partially_furnished
23/10/2025,alley_house,0.0274664831253787,4680000000.0,0.03730647267300877,24.8,certificate,2.0,2.0,unfurnished
23/10/2025,alley_house,0.07641082658289654,13000000000.0,0.1609774295840328,91.1,certificate,2.0,2.0,unfurnished
23/10/2025,alley_house,0.04346751848649031,7400000000.0,0.10968102965864578,63.6,certificate,5.0,5.0,unfurnished
23/10/2025,alley_house,0.05993917253469343,10200000000.0,0.12945346017534043,74.2,certificate,6.0,7.0,unfurnished
23/10/2025,alley_house,0.04405579184535471,7500000000.0,0.08617795187465024,51.0,certificate,2.0,1.0,unfurnished
23/10/2025,alley_house,0.05582125902264265,9500000000.0,0.18914381645215445,106.2,certificate,6.0,4.0,unfurnished
23/10/2025,alley_house,0.04405579184535471,7500000000.0,0.10166013803394888,59.3,certificate,3.0,2.0,unfurnished
22/10/2025,alley_house,0.06170399261128662,10500000000.0,0.10781570602499534,62.6,certificate,4.0,5.0,furnished
22/10/2025,alley_house,0.024936907682261793,4250000000.0,0.049990673381831746,31.6,certificate,3.0,2.0,unfurnished
22/10/2025,alley_house,0.019054174093617822,3250000000.0,0.04047752285021451,26.5,certificate,2.0,2.0,unfurnished
22/10/2025,alley_house,0.04052615169216832,6900000000.0,0.13822048125349748,78.9,certificate,5.0,4.0,unfurnished
22/10/2025,alley_house,0.044644065204219104,7600000000.0,0.13355717216937138,76.4,certificate,3.0,1.0,unfurnished
22/10/2025,alley_house,0.022877950926236405,3900000000.0,0.030218242865137097,21.0,certificate,2.0,2.0,unfurnished
22/10/2025,alley_house,0.019054174093617822,3250000000.0,0.04700615556799104,30.0,certificate,3.0,2.0,unfurnished
22/10/2025,alley_house,0.020524857490778814,3500000000.0,0.04514083193434061,29.0,certificate,2.0,2.0,unfurnished
22/10/2025,alley_house,0.051703345510591865,8800000000.0,0.15985823540384256,90.5,certificate,2.0,3.0,unfurnished
22/10/2025,alley_house,0.03346687138579556,5700000000.0,0.11882111546353291,68.5,certificate,3.0,3.0,unfurnished
22/10/2025,alley_house,0.0822935601715405,14000000000.0,0.18485357209475844,103.9,certificate,6.0,5.0,unfurnished
22/10/2025,alley_house,0.051703345510591865,8800000000.0,0.1842939750046633,103.6,certificate,3.0,3.0,unfurnished
22/10/2025,alley_house,0.03523169146238875,6000000000.0,0.06864390971833613,41.6,certificate,3.0,3.0,unfurnished
22/10/2025,alley_house,0.01934831077305002,3300000000.0,0.11061369147547098,64.1,certificate,2.0,1.0,unfurnished
22/10/2025,alley_house,0.03729064821841414,6350000000.0,0.10445812348442454,60.8,certificate,5.0,5.0,unfurnished
22/10/2025,alley_house,0.04452641053244622,7580000000.0,0.054840514829322895,34.2,certificate,5.0,5.0,unfurnished
22/10/2025,alley_house,0.03346687138579556,5700000000.0,0.17590001865323632,99.1,certificate,3.0,2.0,unfurnished
22/10/2025,alley_house,0.07582255322403214,12900000000.0,0.20928931169557918,117.0,certificate,7.0,4.0,partially_furnished
22/10/2025,alley_house,0.044349928524786905,7550000000.0,0.0833799664241746,49.5,certificate,5.0,6.0,furnished
22/10/2025,alley_house,0.05817435245810024,9900000000.0,0.063794068270845,39.0,certificate,4.0,4.0,partially_furnished
22/10/2025,alley_house,0.03817305825671073,6500000000.0,0.06920350680843126,41.9,certificate,4.0,3.0,furnished
21/10/2025,alley_house,0.06458653206972216,10990000000.0,0.18970341354224957,106.5,certificate,10.0,7.0,unfurnished
21/10/2025,alley_house,0.019936584131914417,3400000000.0,0.028166386868121614,19.9,certificate,2.0,2.0,unfurnished
21/10/2025,alley_house,0.0640570860467442,10900000000.0,0.10296586457750419,60.0,certificate,3.0,2.0,unfurnished
21/10/2025,alley_house,0.032290324668066764,5500000000.0,0.09307964931915688,54.7,certificate,2.0,2.0,unfurnished
21/10/2025,alley_house,0.020230720811346616,3450000000.0,0.08449916060436485,50.1,certificate,2.0,1.0,unfurnished
21/10/2025,alley_house,0.020524857490778814,3500000000.0,0.09606416713299756,56.3,certificate,2.0,2.0,unfurnished
21/10/2025,alley_house,0.05582125902264265,9500000000.0,0.1387800783435926,79.2,certificate,4.0,3.0,unfurnished
21/10/2025,alley_house,0.020524857490778814,3500000000.0,0.15053161723559036,85.5,certificate,3.0,2.0,unfurnished
21/10/2025,alley_house,0.10582449452611639,18000000000.0,0.11844805073680281,68.3,certificate,6.0,7.0,partially_furnished
21/10/2025,alley_house,0.015230397260999241,2600000000.0,0.0074612945346017555,8.8,certificate,2.0,1.0,partially_furnished
21/10/2025,alley_house,0.023172087605668603,3950000000.0,0.02872598395821675,20.2,certificate,2.0,2.0,unfurnished
21/10/2025,alley_house,0.03729064821841414,6350000000.0,0.09979481440029844,58.3,certificate,1.0,1.0,unfurnished
21/10/2025,alley_house,0.020230720811346616,3450000000.0,0.093639246409252,55.0,certificate,3.0,2.0,unfurnished
20/10/2025,alley_house,0.030819641270905765,5250000000.0,0.03767953739973885,25.0,certificate,2.0,3.0,furnished
20/10/2025,alley_house,0.030525504591473566,5200000000.0,0.08058198097369894,48.0,certificate,2.0,2.0,unfurnished
20/10/2025,alley_house,0.030525504591473566,5200000000.0,0.07368028352919231,44.3,certificate,2.0,2.0,unfurnished
20/10/2025,alley_house,0.08170528681267611,13900000000.0,0.10333892930423429,60.2,certificate,5.0,4.0,unfurnished
20/10/2025,alley_house,0.06082158257299002,10350000000.0,0.047155381458683074,30.08,certificate,3.0,3.0,unfurnished
20/10/2025,alley_house,0.06758672619993059,11500000000.0,0.12943480693900392,74.19,certificate,1.0,1.0,unfurnished
20/10/2025,alley_house,0.02787827447658378,4750000000.0,0.0791456817757881,47.23,certificate,3.0,3.0,unfurnished
20/10/2025,alley_house,0.03464341810352435,5900000000.0,0.03581421376608841,24.0,certificate,3.0,4.0,unfurnished
20/10/2025,alley_house,0.024054497643965198,4100000000.0,0.022943480693900394,17.1,certificate,3.0,3.0,unfurnished
20/10/2025,alley_house,0.058762625816964634,10000000000.0,0.16769259466517442,94.7,certificate,1.0,2.0,unfurnished
20/10/2025,alley_house,0.020818994170211012,3550000000.0,0.0650997948144003,39.7,certificate,2.0,2.0,partially_furnished
20/10/2025,alley_house,0.04346751848649031,7400000000.0,0.09569110240626749,56.1,certificate,4.0,4.0,unfurnished
20/10/2025,alley_house,0.08817629376018449,15000000000.0,0.19791083753031152,110.9,certificate,11.0,11.0,unfurnished
20/10/2025,alley_house,0.03346687138579556,5700000000.0,0.05676179817198283,35.23,certificate,7.0,7.0,unfurnished
20/10/2025,alley_house,0.021407267529075413,3650000000.0,0.030031710501772054,20.9,certificate,1.0,2.0,furnished
20/10/2025,alley_house,0.02817241115601598,4800000000.0,0.04588696138780078,29.4,certificate,2.0,2.0,unfurnished
20/10/2025,alley_house,0.015230397260999241,2600000000.0,0.024883417272896845,18.14,certificate,1.0,1.0,unfurnished
20/10/2025,alley_house,0.037584784897846335,6400000000.0,0.07256108934900206,43.7,certificate,3.0,3.0,unfurnished
20/10/2025,alley_house,0.02570166304878551,4380000000.0,0.08058198097369894,48.0,certificate,4.0,4.0,unfurnished
20/10/2025,alley_house,0.029290130537858332,4990000000.0,0.08020891624696884,47.8,certificate,2.0,2.0,unfurnished
20/10/2025,alley_house,0.03434928142409215,5850000000.0,0.13803394889013243,78.8,certificate,6.0,7.0,unfurnished
20/10/2025,alley_house,0.09347075398996406,15900000000.0,0.22999440402909901,128.1,certificate,17.0,17.0,furnished
20/10/2025,alley_house,0.08111701345381171,13800000000.0,0.052788658832307406,33.1,certificate,8.0,5.0,partially_furnished
20/10/2025,alley_house,0.04905611539570208,8350000000.0,0.07908972206677858,47.2,certificate,4.0,5.0,partially_furnished
20/10/2025,alley_house,0.03493755478295655,5950000000.0,0.04831188211154634,30.7,certificate,3.0,3.0,partially_furnished
20/10/2025,alley_house,0.03870250427968869,6590000000.0,0.07703786606976311,46.1,certificate,3.0,3.0,unfurnished
19/10/2025,alley_house,0.07346945978857455,12500000000.0,0.16228315612758812,91.8,certificate,3.0,2.0,partially_furnished
19/10/2025,alley_house,0.08170528681267611,13900000000.0,0.08617795187465024,51.0,certificate,1.0,1.0,unfurnished
19/10/2025,alley_house,0.06993981963538817,11900000000.0,0.055773176646148115,34.7,certificate,3.0,4.0,unfurnished
17/10/2025,alley_house,0.03817305825671073,6500000000.0,0.07200149225890691,43.4,certificate,3.0,3.0,unfurnished
